filename,width,height,class,xmin,ymin,xmax,ymax
IMG_5301_MOV-14_jpg.rf.fe8157f46ab572ed36d3c29484be5735.jpg,640,640,Dime,454,154,499,255
IMG_5301_MOV-14_jpg.rf.fe8157f46ab572ed36d3c29484be5735.jpg,640,640,Dime,507,494,546,583
IMG_5301_MOV-14_jpg.rf.fe8157f46ab572ed36d3c29484be5735.jpg,640,640,Quarter,412,529,475,640
IMG_5301_MOV-14_jpg.rf.fe8157f46ab572ed36d3c29484be5735.jpg,640,640,Penny,199,158,274,299
IMG_8473_jpg.rf.fd8f3dbe2707cd72171b90358432f824.jpg,640,640,Penny,105,355,193,444
IMG_8473_jpg.rf.fd8f3dbe2707cd72171b90358432f824.jpg,640,640,Penny,344,351,427,440
IMG_8473_jpg.rf.fd8f3dbe2707cd72171b90358432f824.jpg,640,640,Penny,237,352,320,435
IMG_8473_jpg.rf.fd8f3dbe2707cd72171b90358432f824.jpg,640,640,Penny,460,345,540,429
IMG_8473_jpg.rf.fd8f3dbe2707cd72171b90358432f824.jpg,640,640,Nickel,84,220,180,311
IMG_8473_jpg.rf.fd8f3dbe2707cd72171b90358432f824.jpg,640,640,Nickel,459,208,555,300
IMG_8473_jpg.rf.fd8f3dbe2707cd72171b90358432f824.jpg,640,640,Nickel,210,200,301,298
IMG_8473_jpg.rf.fd8f3dbe2707cd72171b90358432f824.jpg,640,640,Nickel,330,191,419,283
IMG_8473_jpg.rf.fd8f3dbe2707cd72171b90358432f824.jpg,640,640,Nickel,77,89,168,191
IMG_8473_jpg.rf.fd8f3dbe2707cd72171b90358432f824.jpg,640,640,Nickel,459,84,551,182
IMG_8473_jpg.rf.fd8f3dbe2707cd72171b90358432f824.jpg,640,640,Nickel,203,82,295,174
IMG_8473_jpg.rf.fd8f3dbe2707cd72171b90358432f824.jpg,640,640,Nickel,331,81,420,173
IMG_8473_jpg.rf.fd8f3dbe2707cd72171b90358432f824.jpg,640,640,Penny,109,465,191,548
